time,gFx,gFy,gFz,TgF
15:57:16:183,0.8763,-0.0225,-0.1386,0.888
15:57:16:190,0.8697,-0.0032,-0.1591,0.884
15:57:16:193,0.8807,0.0029,-0.2315,0.911
15:57:16:200,0.8602,0.0195,-0.3302,0.922
15:57:16:205,0.8360,0.0334,-0.3681,0.914
15:57:16:209,0.8096,0.0464,-0.3705,0.892
15:57:16:214,0.7705,0.0684,-0.3850,0.864
15:57:16:219,0.7556,0.0948,-0.4084,0.864
15:57:16:225,0.7859,0.1107,-0.4114,0.894
15:57:16:229,0.8370,0.1185,-0.4016,0.936
15:57:16:233,0.8998,0.1165,-0.3781,0.983
15:57:16:239,0.9546,0.1087,-0.3307,1.016
15:57:16:245,0.9739,0.0940,-0.2598,1.012
15:57:16:249,0.9731,0.0852,-0.2029,0.998
15:57:16:257,0.9966,0.0909,-0.1635,1.014
15:57:16:259,0.9932,0.0894,-0.1860,1.014
15:57:16:264,0.9858,0.0889,-0.2016,1.010
15:57:16:272,0.9971,0.0914,-0.2031,1.022
15:57:16:274,1.0179,0.0911,-0.2249,1.046
15:57:16:279,1.0333,0.0867,-0.2476,1.066
15:57:16:285,1.0262,0.0816,-0.2679,1.064
15:57:16:290,1.0066,0.0852,-0.2664,1.045
15:57:16:294,0.9876,0.0962,-0.2403,1.021
15:57:16:299,0.9704,0.1041,-0.2180,1.000
15:57:16:304,0.9682,0.0982,-0.2080,0.995
15:57:16:310,0.9856,0.0965,-0.2038,1.011
15:57:16:315,1.0042,0.1021,-0.1992,1.029
15:57:16:320,1.0096,0.1224,-0.2031,1.037
15:57:16:325,1.0152,0.1591,-0.1999,1.047
15:57:16:339,1.0379,0.1974,-0.1747,1.071
15:57:16:340,1.0826,0.2194,-0.1413,1.114
15:57:16:341,1.1428,0.2216,-0.1061,1.169
15:57:16:344,1.1843,0.2170,-0.0850,1.207
15:57:16:350,1.1931,0.2106,-0.0931,1.215
15:57:16:356,1.1836,0.1904,-0.1046,1.203
15:57:16:359,1.1770,0.1767,-0.1168,1.196
15:57:16:365,1.1728,0.1801,-0.1405,1.195
15:57:16:375,1.1582,0.1669,-0.1491,1.180
15:57:16:376,1.1279,0.1182,-0.1449,1.143
15:57:16:381,1.0736,0.0777,-0.1669,1.089
15:57:16:385,1.0083,0.0679,-0.1933,1.029
15:57:16:394,0.9775,0.0613,-0.2068,1.001
15:57:16:395,0.9893,0.0386,-0.2090,1.012
15:57:16:400,1.0203,0.0102,-0.1933,1.039
15:57:16:404,1.0338,-0.0157,-0.1623,1.047
15:57:16:410,1.0088,-0.0333,-0.1351,1.018
15:57:16:415,0.9509,-0.0419,-0.1183,0.959
15:57:16:420,0.8754,-0.0257,-0.1092,0.883
15:57:16:425,0.9027,-0.0365,-0.0679,0.906
15:57:16:431,0.9514,-0.0416,-0.0484,0.954
15:57:16:434,0.9660,-0.0010,-0.0176,0.966
15:57:16:440,0.9812,0.0327,0.0394,0.983
15:57:16:445,0.9932,0.0510,0.0917,0.999
15:57:16:451,0.9922,0.0835,0.1254,1.004
15:57:16:457,0.9817,0.1082,0.1416,0.998
15:57:16:460,0.9702,0.1248,0.1396,0.988
15:57:16:465,0.9702,0.1327,0.1181,0.986
15:57:16:471,0.9900,0.1280,0.0880,1.002
15:57:16:476,1.0467,0.1046,0.0719,1.054
15:57:16:481,1.0807,0.0782,0.0748,1.086
15:57:16:485,1.0191,0.0889,0.0372,1.024
15:57:16:491,0.9203,0.1192,-0.0097,0.928
15:57:16:495,0.8668,0.1248,-0.0552,0.877
15:57:16:501,0.8956,0.1065,-0.0843,0.906
15:57:16:506,0.9915,0.0630,-0.0919,0.998
15:57:16:511,1.0995,-0.0142,-0.0643,1.101
15:57:16:515,1.1401,-0.0563,-0.0713,1.144
15:57:16:521,1.1181,-0.0577,-0.0344,1.120
15:57:16:525,1.1203,-0.0643,0.0577,1.124
15:57:16:530,1.1540,-0.0741,0.1445,1.165
15:57:16:536,1.1953,-0.0582,0.2022,1.214
15:57:16:541,1.2303,-0.0338,0.2518,1.256
15:57:16:545,1.2501,-0.0115,0.2755,1.280
15:57:16:552,1.2713,-0.0057,0.2953,1.305
15:57:16:558,1.3085,-0.0206,0.3178,1.347
15:57:16:561,1.3684,-0.0348,0.3217,1.406
15:57:16:566,1.4051,-0.0472,0.3281,1.444
15:57:16:571,1.4251,-0.0768,0.3616,1.472
15:57:16:576,1.4583,-0.1653,0.4588,1.538
15:57:16:580,1.4063,-0.1905,0.5182,1.511
15:57:16:586,1.3131,-0.2081,0.5757,1.449
15:57:16:591,1.2183,-0.2291,0.6070,1.380
15:57:16:595,1.1396,-0.2501,0.5972,1.311
15:57:16:601,1.0958,-0.2675,0.5510,1.255
15:57:16:607,1.0702,-0.2648,0.5023,1.212
15:57:16:613,1.0377,-0.2445,0.4632,1.162
15:57:16:615,0.9917,-0.2171,0.4256,1.101
15:57:16:620,0.9213,-0.1863,0.3931,1.019
15:57:16:625,0.8025,-0.1663,0.3454,0.889
15:57:16:631,0.7287,-0.1695,0.3083,0.809
15:57:16:636,0.7475,-0.1756,0.3024,0.825
15:57:16:641,0.8108,-0.1907,0.2931,0.883
15:57:16:646,0.8416,-0.1990,0.2838,0.910
15:57:16:652,0.8252,-0.2054,0.2838,0.897
15:57:16:658,0.7822,-0.2054,0.2916,0.860
15:57:16:661,0.7351,-0.2047,0.3036,0.821
15:57:16:666,0.6923,-0.2027,0.3073,0.784
15:57:16:671,0.6749,-0.1990,0.3183,0.772
15:57:16:676,0.6972,-0.1919,0.3496,0.803
15:57:16:681,0.7544,-0.1839,0.4234,0.884
15:57:16:689,0.8257,-0.1739,0.5109,0.986
15:57:16:691,0.8949,-0.1528,0.5730,1.074
15:57:16:695,0.9563,-0.1281,0.6370,1.156
15:57:16:701,1.0042,-0.1101,0.6977,1.228
15:57:16:706,1.0350,-0.0907,0.7627,1.289
15:57:16:711,1.0416,-0.0739,0.8015,1.316
15:57:16:716,1.0193,-0.0668,0.7984,1.296
15:57:16:721,0.9849,-0.0665,0.7527,1.241
15:57:16:726,0.9304,-0.0653,0.6818,1.155
15:57:16:731,0.8812,-0.0639,0.6431,1.093
15:57:16:738,0.8692,-0.0697,0.6527,1.089
15:57:16:741,0.8463,-0.0744,0.6678,1.081
15:57:16:746,0.7918,-0.0805,0.7104,1.067
15:57:16:752,0.7214,-0.0709,0.7575,1.048
15:57:16:757,0.6559,-0.0663,0.7639,1.009
15:57:16:761,0.6221,-0.1130,0.7451,0.977
15:57:16:766,0.5938,-0.1215,0.7553,0.968
15:57:16:780,0.5796,-0.0988,0.7715,0.970
15:57:16:782,0.5671,-0.0883,0.7338,0.932
15:57:16:782,0.5490,-0.0595,0.7421,0.925
15:57:16:800,0.5676,-0.0504,0.7517,0.943
15:57:16:802,0.5982,-0.0563,0.7463,0.958
15:57:16:803,0.6363,-0.0516,0.7155,0.959
15:57:16:804,0.6788,-0.0313,0.6554,0.944
15:57:16:806,0.7094,-0.0076,0.6062,0.933
15:57:16:812,0.7116,0.0168,0.5635,0.908
15:57:16:816,0.6583,0.0449,0.5402,0.853
15:57:16:822,0.5899,0.0769,0.5507,0.811
15:57:16:826,0.5833,0.0887,0.5534,0.809
15:57:16:833,0.6295,0.0698,0.5439,0.835
15:57:16:838,0.6607,0.0452,0.5177,0.841
15:57:16:841,0.6722,0.0219,0.4757,0.824
15:57:16:846,0.6735,0.0051,0.4588,0.815
15:57:16:859,0.6713,-0.0076,0.4542,0.811
15:57:16:861,0.6688,-0.0045,0.4491,0.806
15:57:16:862,0.7157,-0.0084,0.4777,0.861
15:57:16:866,0.8037,-0.0247,0.5307,0.963
15:57:16:875,0.8949,-0.0438,0.6021,1.079
15:57:16:877,0.9851,-0.0668,0.6884,1.204
15:57:16:882,1.0516,-0.0873,0.7874,1.317
15:57:16:887,1.0702,-0.1015,0.8829,1.391
15:57:16:893,1.0367,-0.1191,0.9538,1.414
15:57:16:896,0.9846,-0.1460,1.0076,1.416
15:57:16:901,0.9306,-0.1756,1.0602,1.422
15:57:16:906,0.8873,-0.2230,0.9406,1.312
15:57:16:912,0.8372,-0.2738,0.8086,1.196
15:57:16:916,0.7903,-0.3161,0.7419,1.129
15:57:16:921,0.7588,-0.3569,0.7077,1.097
15:57:16:926,0.7309,-0.3995,0.6576,1.061
15:57:16:932,0.7199,-0.4386,0.5874,1.027
15:57:16:936,0.7370,-0.4792,0.5295,1.026
15:57:16:942,0.7910,-0.5351,0.4723,1.065
15:57:16:947,0.8340,-0.5879,0.4344,1.109
15:57:16:956,0.8702,-0.6229,0.4373,1.156
15:57:16:957,0.8961,-0.6371,0.4515,1.189
15:57:16:963,0.8966,-0.6305,0.4767,1.195
15:57:16:967,0.8749,-0.6009,0.5168,1.180
15:57:16:973,0.8309,-0.5349,0.5505,1.131
15:57:16:977,0.7749,-0.4623,0.5789,1.072
15:57:16:982,0.7304,-0.4102,0.5833,1.021
15:57:16:987,0.7113,-0.3674,0.5493,0.971
15:57:16:993,0.6923,-0.3235,0.4774,0.901
15:57:16:997,0.6568,-0.2819,0.4109,0.824
15:57:17:003,0.6299,-0.2518,0.3694,0.772
15:57:17:008,0.6133,-0.2391,0.3361,0.739
15:57:17:014,0.6045,-0.2384,0.3176,0.723
15:57:17:017,0.5823,-0.2455,0.3677,0.731
15:57:17:022,0.5617,-0.2726,0.4596,0.775
15:57:17:027,0.5639,-0.3200,0.5732,0.865
15:57:17:033,0.5727,-0.3613,0.6964,0.971
15:57:17:037,0.5803,-0.3870,0.8057,1.066
15:57:17:042,0.5894,-0.3806,0.9093,1.149
15:57:17:047,0.6204,-0.3489,0.9944,1.223
15:57:17:056,0.6810,-0.3188,1.0565,1.297
15:57:17:057,0.7568,-0.2773,1.1042,1.367
15:57:17:062,0.8414,-0.2587,1.1100,1.417
15:57:17:067,0.8976,-0.2443,1.0851,1.429
15:57:17:074,0.9145,-0.1621,1.0672,1.415
15:57:17:078,0.9181,-0.1101,1.0386,1.391
15:57:17:082,0.9291,-0.1316,1.0015,1.372
15:57:17:099,0.9247,-0.1091,0.9660,1.342
15:57:17:100,0.8956,-0.0555,0.9049,1.274
15:57:17:101,0.8441,-0.0125,0.8433,1.193
15:57:17:103,0.7866,-0.0020,0.8062,1.126
15:57:17:107,0.7505,-0.0150,0.7805,1.083
15:57:17:113,0.7082,-0.0445,0.7421,1.027
15:57:17:117,0.6664,-0.0871,0.6810,0.957
15:57:17:123,0.6309,-0.1230,0.6092,0.886
15:57:17:127,0.5842,-0.1533,0.5314,0.805
15:57:17:133,0.5248,-0.1748,0.4733,0.728
15:57:17:141,0.4823,-0.2066,0.4341,0.681
15:57:17:143,0.4217,-0.2435,0.4210,0.644
15:57:17:148,0.3259,-0.2609,0.4312,0.600
15:57:17:154,0.2567,-0.2848,0.4256,0.573
15:57:17:157,0.2652,-0.3110,0.4486,0.607
15:57:17:162,0.3459,-0.3520,0.5297,0.724
15:57:17:168,0.4390,-0.4083,0.6387,0.876
15:57:17:180,0.5045,-0.4545,0.7651,1.023
15:57:17:181,0.5165,-0.4728,0.8626,1.111
15:57:17:184,0.4671,-0.4647,0.9233,1.134
15:57:17:187,0.3877,-0.4393,0.9724,1.135
15:57:17:194,0.3305,-0.4070,1.0316,1.157
15:57:17:197,0.3185,-0.3736,1.1054,1.209
15:57:17:204,0.3232,-0.3420,1.1562,1.248
15:57:17:208,0.2870,-0.3582,1.1679,1.255
15:57:17:214,0.2120,-0.3780,1.1753,1.253
15:57:17:218,0.2005,-0.3745,1.1555,1.231
15:57:17:224,0.2393,-0.3518,1.1020,1.181
15:57:17:233,0.2623,-0.3349,1.0093,1.095
15:57:17:233,0.3127,-0.2858,0.9223,1.015
15:57:17:238,0.3508,-0.2513,0.8538,0.957
15:57:17:243,0.3344,-0.2237,0.8037,0.899
15:57:17:248,0.2762,-0.2252,0.7766,0.854
15:57:17:257,0.2051,-0.2499,0.7839,0.848
15:57:17:258,0.1680,-0.2469,0.8218,0.874
15:57:17:263,0.1626,-0.2377,0.8854,0.931
15:57:17:268,0.1577,-0.2293,0.9587,0.998
15:57:17:274,0.1320,-0.2127,1.0147,1.045
15:57:17:278,0.0851,-0.2320,1.0184,1.048
15:57:17:287,0.0516,-0.2291,0.9983,1.026
15:57:17:289,0.0435,-0.1971,0.9656,0.986
15:57:17:293,0.0506,-0.1805,0.9299,0.949
15:57:17:298,0.0685,-0.1658,0.9123,0.930
15:57:17:304,0.1017,-0.1443,0.9130,0.930
15:57:17:309,0.1095,-0.1303,0.9074,0.923
15:57:17:313,0.0814,-0.1306,0.8839,0.897
15:57:17:318,0.0660,-0.1279,0.8722,0.884
15:57:17:323,0.0814,-0.1179,0.8937,0.905
15:57:17:328,0.1015,-0.1174,0.9335,0.946
15:57:17:333,0.1056,-0.1057,0.9924,1.004
15:57:17:339,0.1024,-0.0888,1.0416,1.050
15:57:17:343,0.0861,-0.0714,1.0765,1.082
15:57:17:348,0.0416,-0.0570,1.0890,1.091
15:57:17:354,-0.0068,-0.0507,1.1015,1.103
15:57:17:358,-0.0559,-0.0428,1.1159,1.118
15:57:17:363,-0.1136,-0.0441,1.1196,1.126
15:57:17:368,-0.1430,-0.0568,1.1359,1.146
15:57:17:374,-0.1048,-0.0658,1.1763,1.183
15:57:17:378,-0.0386,-0.0922,1.2073,1.211
15:57:17:383,0.0142,-0.1321,1.2102,1.218
15:57:17:389,0.0531,-0.1658,1.1882,1.201
15:57:17:394,0.0638,-0.1734,1.1538,1.168
15:57:17:398,0.0475,-0.1448,1.1484,1.158
15:57:17:404,0.0066,-0.1215,1.1149,1.122
15:57:17:408,-0.0770,-0.1196,1.0580,1.067
15:57:17:414,-0.1432,-0.1259,1.0558,1.073
15:57:17:422,-0.1831,-0.1431,1.0699,1.095
15:57:17:424,-0.2075,-0.1702,1.0880,1.121
15:57:17:432,-0.2202,-0.1985,1.0958,1.135
15:57:17:434,-0.2139,-0.2198,1.0824,1.125
15:57:17:440,-0.1987,-0.2340,1.0477,1.092
15:57:17:443,-0.1452,-0.2509,1.0071,1.048
15:57:17:448,-0.1158,-0.2611,0.9631,1.005
15:57:17:455,-0.1268,-0.2452,0.8988,0.940
15:57:17:458,-0.1430,-0.2198,0.8326,0.873
15:57:17:463,-0.1369,-0.2071,0.8052,0.843
15:57:17:470,-0.0936,-0.2005,0.7761,0.807
15:57:17:474,-0.0445,-0.1929,0.7468,0.773
15:57:17:478,-0.0511,-0.1746,0.7429,0.765
