time,gFx,gFy,gFz,TgF
16:49:51:332,0.4708,-0.0045,0.8059,0.933
16:49:51:339,0.5045,-0.0441,0.8059,0.952
16:49:51:342,0.5251,-0.0648,0.7839,0.946
16:49:51:347,0.5177,-0.0592,0.8162,0.968
16:49:51:364,0.4860,-0.0526,0.8678,0.996
16:49:51:366,0.4557,-0.0580,0.9096,1.019
16:49:51:367,0.4278,-0.0587,0.9098,1.007
16:49:51:369,0.4075,-0.0783,0.9374,1.025
16:49:51:385,0.4021,-0.0959,0.9780,1.062
16:49:51:387,0.3975,-0.1039,0.9621,1.046
16:49:51:388,0.4266,-0.1277,0.9132,1.016
16:49:51:388,0.4298,-0.1365,0.8927,1.000
16:49:51:392,0.3924,-0.1257,0.8937,0.984
16:49:51:397,0.3694,-0.1193,0.8827,0.964
16:49:51:403,0.3655,-0.1186,0.8719,0.953
16:49:51:407,0.3496,-0.1039,0.9257,0.995
16:49:51:413,0.3520,-0.0800,0.9751,1.040
16:49:51:418,0.4070,-0.0844,0.9695,1.055
16:49:51:423,0.5124,-0.1171,0.8922,1.036
16:49:51:428,0.5468,-0.1347,0.7991,0.978
16:49:51:433,0.4835,-0.1091,0.8072,0.947
16:49:51:444,0.3850,-0.0673,0.9047,0.986
16:49:51:445,0.3237,-0.0313,0.9800,1.033
16:49:51:448,0.2978,-0.0206,0.9712,1.016
16:49:51:461,0.3063,-0.0277,0.9135,0.964
16:49:51:463,0.3608,-0.0389,0.8534,0.927
16:49:51:464,0.4038,-0.0463,0.8309,0.925
16:49:51:468,0.3545,-0.0106,0.8441,0.916
16:49:51:482,0.2846,0.0293,0.8458,0.893
16:49:51:483,0.2718,0.0434,0.8450,0.889
16:49:51:484,0.2816,0.0430,0.8568,0.903
16:49:51:491,0.3063,0.0334,0.8602,0.914
16:49:51:492,0.3327,0.0190,0.8766,0.938
16:49:51:498,0.3437,0.0080,0.8986,0.962
16:49:51:503,0.3422,-0.0005,0.9096,0.972
16:49:51:508,0.3315,-0.0074,0.9255,0.983
16:49:51:513,0.3276,-0.0191,0.9206,0.977
16:49:51:524,0.3178,-0.0265,0.8996,0.954
16:49:51:525,0.3141,-0.0252,0.8961,0.950
16:49:51:528,0.3041,-0.0208,0.8978,0.948
16:49:51:535,0.2980,-0.0184,0.8905,0.939
16:49:51:540,0.2882,-0.0152,0.9052,0.950
16:49:51:544,0.2875,-0.0294,0.9521,0.995
16:49:51:548,0.2674,-0.0313,0.9460,0.984
16:49:51:553,0.2198,-0.0008,0.9230,0.949
16:49:51:558,0.2044,0.0161,0.9018,0.925
16:49:51:563,0.1870,0.0085,0.8614,0.882
16:49:51:568,0.1609,0.0258,0.8886,0.903
16:49:51:573,0.1486,0.0298,0.8915,0.904
16:49:51:580,0.1433,0.0151,0.9502,0.961
16:49:51:583,0.1499,-0.0035,0.9726,0.984
16:49:51:588,0.1680,-0.0101,0.9326,0.948
16:49:51:593,0.1616,-0.0079,0.9362,0.950
16:49:51:599,0.1266,0.0195,1.0140,1.022
16:49:51:604,0.1029,0.0359,1.0589,1.065
16:49:51:608,0.0910,0.0251,1.0477,1.052
16:49:51:613,0.0827,-0.0084,1.0210,1.024
16:49:51:620,0.0377,-0.0106,1.1171,1.118
16:49:51:623,0.0047,-0.0089,1.1638,1.164
16:49:51:630,0.0013,-0.0465,1.2298,1.231
16:49:51:634,0.0054,-0.0856,1.2525,1.255
16:49:51:640,0.0008,-0.1037,1.2489,1.253
16:49:51:643,-0.0129,-0.1096,1.2960,1.301
16:49:51:649,-0.0225,-0.1079,1.3457,1.350
16:49:51:657,-0.0467,-0.1057,1.3161,1.321
16:49:51:660,-0.0672,-0.0932,1.2867,1.292
16:49:51:663,-0.1024,-0.0560,1.2383,1.244
16:49:51:670,-0.1134,-0.0668,1.2007,1.208
16:49:51:674,-0.1202,-0.0763,1.1992,1.208
16:49:51:679,-0.1224,-0.0636,1.2127,1.221
16:49:51:683,-0.1325,-0.0482,1.2317,1.240
16:49:51:688,-0.1699,-0.0585,1.2462,1.259
16:49:51:694,-0.1914,-0.0614,1.2645,1.280
16:49:51:700,-0.1857,-0.0240,1.2841,1.298
16:49:51:704,-0.2153,-0.0213,1.2711,1.289
16:49:51:709,-0.2439,-0.0436,1.2699,1.294
16:49:51:713,-0.2425,-0.0629,1.2669,1.291
16:49:51:719,-0.2483,-0.0783,1.2520,1.279
16:49:51:724,-0.2806,-0.0849,1.2229,1.258
16:49:51:730,-0.2960,-0.0702,1.1596,1.199
16:49:51:734,-0.3146,-0.0414,1.1574,1.200
16:49:51:740,-0.3392,-0.0147,1.1694,1.218
16:49:51:744,-0.3639,-0.0076,1.1169,1.175
16:49:51:749,-0.3463,-0.0084,0.9993,1.058
16:49:51:758,-0.3427,-0.0321,0.8905,0.955
16:49:51:764,-0.3331,-0.0445,0.8482,0.912
16:49:51:765,-0.3302,-0.0245,0.8431,0.906
16:49:51:770,-0.3549,0.0141,0.8592,0.930
16:49:51:774,-0.3886,0.0515,0.8934,0.976
16:49:51:779,-0.4162,0.0676,0.8592,0.957
16:49:51:784,-0.4331,0.0503,0.8191,0.928
16:49:51:789,-0.4409,0.0263,0.8270,0.938
16:49:51:794,-0.4659,-0.0074,0.9174,1.029
16:49:51:799,-0.4950,-0.0235,1.0316,1.144
16:49:51:804,-0.5128,-0.0213,1.0015,1.125
16:49:51:809,-0.4998,-0.0199,0.9406,1.065
16:49:51:814,-0.4759,-0.0155,0.8785,0.999
16:49:51:820,-0.4583,-0.0032,0.8243,0.943
16:49:51:824,-0.4514,0.0285,0.8248,0.941
16:49:51:829,-0.4495,0.0628,0.8658,0.978
16:49:51:835,-0.4448,0.0879,0.9101,1.017
16:49:51:840,-0.4243,0.0965,0.9321,1.029
16:49:51:844,-0.3896,0.0960,0.9482,1.030
16:49:51:849,-0.3483,0.0813,0.9585,1.023
16:49:51:857,-0.3170,0.0816,0.9631,1.017
16:49:51:860,-0.2886,0.0850,0.9802,1.025
16:49:51:865,-0.2657,0.1050,1.0482,1.086
16:49:51:870,-0.2407,0.0933,1.0587,1.090
16:49:51:874,-0.1982,0.0779,1.0990,1.119
16:49:51:880,-0.1613,0.0906,1.0980,1.114
16:49:51:884,-0.1339,0.0867,1.0577,1.070
16:49:51:892,-0.0870,0.0955,1.0604,1.068
16:49:51:894,-0.0393,0.0945,1.0223,1.027
16:49:51:901,0.0022,0.0608,0.9230,0.925
16:49:51:904,0.0560,0.0312,0.9550,0.957
16:49:51:909,0.0851,0.0381,1.0873,1.091
16:49:51:914,0.0966,0.0576,1.1587,1.164
16:49:51:921,0.0834,0.1016,1.1890,1.196
16:49:51:924,0.0675,0.1388,1.2095,1.219
16:49:51:930,0.0550,0.1398,1.2071,1.216
16:49:51:934,0.0594,0.1143,1.1829,1.190
16:49:51:941,0.0660,0.0855,1.1508,1.156
16:49:51:945,0.0509,0.0867,1.1156,1.120
16:49:51:949,0.0291,0.1041,1.0834,1.089
16:49:51:957,0.0069,0.1170,1.0582,1.065
16:49:51:962,-0.0107,0.1224,1.0474,1.055
16:49:51:965,-0.0139,0.1021,1.0528,1.058
16:49:51:970,-0.0205,0.0816,1.0680,1.071
16:49:51:975,-0.0295,0.0698,1.1007,1.103
16:49:51:980,-0.0403,0.0537,1.1261,1.128
16:49:51:985,-0.0440,0.0322,1.1215,1.123
16:49:51:990,-0.0599,0.0144,1.1066,1.108
16:49:51:995,-0.0662,-0.0008,1.0680,1.070
16:49:52:000,-0.0716,-0.0057,1.0245,1.027
16:49:52:005,-0.0782,-0.0010,0.9702,0.973
16:49:52:010,-0.0831,0.0312,0.8754,0.880
16:49:52:015,-0.0853,0.0806,0.7617,0.771
16:49:52:020,-0.0606,0.1065,0.7153,0.726
16:49:52:025,-0.0132,0.1273,0.9423,0.951
16:49:52:030,0.0985,0.0552,0.9646,0.971
16:49:52:035,0.2115,-0.0289,0.8353,0.862
16:49:52:041,0.2782,-0.0438,0.8790,0.923
16:49:52:045,0.2897,-0.0252,0.9299,0.974
16:49:52:051,0.2716,-0.0162,0.9118,0.952
16:49:52:058,0.2564,-0.0179,0.9110,0.947
16:49:52:063,0.2247,-0.0125,0.9323,0.959
16:49:52:065,0.2010,0.0102,0.9660,0.987
16:49:52:070,0.2019,0.0178,1.0118,1.032
16:49:52:075,0.2088,0.0168,1.0379,1.059
16:49:52:081,0.1897,-0.0023,1.0250,1.042
16:49:52:086,0.1518,-0.0196,1.0203,1.032
16:49:52:091,0.1139,-0.0238,1.0399,1.046
16:49:52:095,0.0831,-0.0238,1.0567,1.060
16:49:52:101,0.0435,-0.0211,1.0648,1.066
16:49:52:106,0.0149,-0.0150,1.0692,1.069
16:49:52:110,0.0035,-0.0201,1.0624,1.063
16:49:52:115,0.0179,-0.0294,1.0533,1.054
16:49:52:121,0.0306,-0.0316,1.0543,1.055
16:49:52:125,0.0416,-0.0296,1.0558,1.057
