time,gFx,gFy,gFz,TgF
15:42:43:893,0.9110,0.0576,0.3833,0.990
15:42:43:898,0.9118,0.0566,0.3799,0.989
15:42:43:902,0.9128,0.0562,0.3767,0.989
15:42:43:908,0.9132,0.0557,0.3814,0.991
15:42:43:911,0.9169,0.0557,0.3887,0.997
15:42:43:916,0.9198,0.0540,0.3950,1.003
15:42:43:921,0.9198,0.0520,0.4029,1.006
15:42:43:927,0.9184,0.0515,0.4078,1.006
15:42:43:931,0.9137,0.0537,0.4058,1.001
15:42:43:936,0.9118,0.0549,0.4036,0.999
15:42:43:941,0.9128,0.0510,0.4065,1.000
15:42:43:947,0.9150,0.0442,0.4104,1.004
15:42:43:951,0.9140,0.0430,0.4126,1.004
15:42:43:956,0.9093,0.0493,0.4102,0.999
15:42:43:962,0.9081,0.0525,0.4051,0.996
15:42:43:967,0.9106,0.0508,0.3963,0.994
15:42:43:972,0.9132,0.0488,0.3867,0.993
15:42:43:977,0.9164,0.0488,0.3801,0.993
15:42:43:983,0.9189,0.0474,0.3777,0.995
15:42:43:989,0.9167,0.0474,0.3782,0.993
15:42:43:992,0.9135,0.0515,0.3816,0.991
15:42:43:998,0.9115,0.0557,0.3838,0.991
15:42:44:003,0.9101,0.0581,0.3872,0.991
15:42:44:011,0.9088,0.0579,0.3894,0.990
15:42:44:016,0.9101,0.0559,0.3904,0.992
15:42:44:019,0.9113,0.0540,0.3914,0.993
15:42:44:025,0.9120,0.0535,0.3919,0.994
15:42:44:027,0.9120,0.0535,0.3928,0.994
15:42:44:032,0.9110,0.0562,0.3948,0.994
15:42:44:038,0.9110,0.0588,0.3963,0.995
15:42:44:043,0.9130,0.0596,0.3965,0.997
15:42:44:048,0.9154,0.0569,0.3963,0.999
15:42:44:052,0.9157,0.0564,0.3941,0.998
15:42:44:057,0.9157,0.0569,0.3892,0.997
15:42:44:062,0.9169,0.0549,0.3850,0.996
15:42:44:068,0.9191,0.0520,0.3826,0.997
15:42:44:076,0.9191,0.0535,0.3814,0.997
15:42:44:078,0.9169,0.0542,0.3826,0.995
15:42:44:082,0.9145,0.0522,0.3850,0.994
15:42:44:092,0.9115,0.0522,0.3862,0.991
15:42:44:093,0.9088,0.0542,0.3833,0.988
15:42:44:098,0.9069,0.0554,0.3767,0.984
15:42:44:102,0.9074,0.0544,0.3733,0.983
15:42:44:108,0.9093,0.0537,0.3735,0.985
15:42:44:112,0.9108,0.0540,0.3757,0.987
15:42:44:117,0.9132,0.0542,0.3806,0.991
15:42:44:122,0.9159,0.0537,0.3862,0.995
15:42:44:128,0.9169,0.0532,0.3892,0.998
15:42:44:132,0.9164,0.0525,0.3889,0.997
15:42:44:138,0.9154,0.0542,0.3872,0.995
15:42:44:143,0.9150,0.0554,0.3850,0.994
15:42:44:148,0.9157,0.0559,0.3818,0.994
15:42:44:152,0.9162,0.0569,0.3777,0.993
15:42:44:158,0.9167,0.0574,0.3762,0.993
15:42:44:163,0.9159,0.0579,0.3779,0.993
15:42:44:168,0.9150,0.0584,0.3794,0.992
15:42:44:174,0.9140,0.0584,0.3787,0.991
15:42:44:178,0.9147,0.0564,0.3777,0.991
