time,gFx,gFy,gFz,TgF
16:00:45:750,0.9844,0.0422,0.0323,0.986
16:00:45:756,0.9927,0.0400,0.0303,0.994
16:00:45:760,1.0003,0.0364,0.0294,1.001
16:00:45:766,1.0034,0.0329,0.0255,1.004
16:00:45:770,1.0010,0.0329,0.0267,1.002
16:00:45:776,0.9956,0.0386,0.0284,0.997
16:00:45:781,0.9905,0.0432,0.0269,0.992
16:00:45:786,0.9876,0.0432,0.0255,0.989
16:00:45:790,0.9861,0.0420,0.0264,0.987
16:00:45:796,0.9824,0.0412,0.0279,0.984
16:00:45:802,0.9785,0.0422,0.0308,0.980
