time,gFx,gFy,gFz,TgF
15:38:06:891,0.9929,-0.0365,0.0421,0.994
15:38:06:900,0.9871,-0.0084,0.1034,0.993
15:38:06:901,0.9682,0.0290,0.1218,0.976
15:38:06:907,0.9521,0.0581,0.1020,0.959
15:38:06:913,0.9563,0.0723,0.0648,0.961
15:38:06:916,0.9746,0.0708,0.0318,0.978
15:38:06:921,0.9805,0.0650,0.0201,0.983
15:38:06:927,0.9785,0.0549,0.0257,0.980
15:38:06:931,0.9746,0.0537,0.0284,0.976
15:38:06:936,0.9797,0.0500,0.0259,0.981
15:38:06:942,0.9905,0.0481,0.0255,0.992
15:38:06:947,0.9883,0.0630,0.0391,0.991
15:38:06:951,0.9846,0.0672,0.0281,0.987
15:38:06:956,0.9973,0.0430,-0.0049,0.998
15:38:06:963,0.9817,0.0474,-0.0107,0.983
15:38:06:967,0.9854,0.0466,0.0042,0.986
15:38:06:972,0.9849,0.0459,0.0086,0.986
15:38:06:978,0.9868,0.0447,0.0069,0.988
15:38:06:983,0.9951,0.0395,0.0088,0.996
15:38:06:987,0.9954,0.0386,0.0113,0.996
15:38:06:992,0.9883,0.0430,0.0137,0.989
15:38:06:996,0.9810,0.0474,0.0174,0.982
15:38:07:003,0.9812,0.0427,0.0262,0.982
15:38:07:008,0.9795,0.0386,0.0338,0.981
15:38:07:016,0.9751,0.0364,0.0416,0.977
15:38:07:021,0.9778,0.0334,0.0575,0.980
15:38:07:022,0.9834,0.0315,0.0724,0.987
15:38:07:031,0.9810,0.0361,0.0778,0.985
15:38:07:032,0.9812,0.0339,0.0844,0.985
15:38:07:036,0.9800,0.0332,0.0900,0.985
15:38:07:041,0.9797,0.0366,0.0880,0.984
15:38:07:047,0.9849,0.0390,0.0839,0.989
15:38:07:052,0.9866,0.0403,0.0829,0.991
15:38:07:056,0.9822,0.0422,0.0861,0.987
15:38:07:061,0.9763,0.0439,0.0917,0.982
15:38:07:068,0.9734,0.0466,0.0927,0.979
15:38:07:072,0.9748,0.0474,0.0883,0.980
15:38:07:077,0.9785,0.0459,0.0822,0.983
15:38:07:082,0.9805,0.0434,0.0802,0.985
15:38:07:087,0.9819,0.0405,0.0831,0.986
15:38:07:092,0.9839,0.0373,0.0870,0.988
15:38:07:100,0.9851,0.0364,0.0885,0.990
15:38:07:102,0.9841,0.0383,0.0875,0.989
15:38:07:107,0.9810,0.0415,0.0802,0.985
15:38:07:114,0.9805,0.0405,0.0692,0.984
15:38:07:117,0.9819,0.0378,0.0641,0.985
15:38:07:121,0.9795,0.0376,0.0663,0.982
15:38:07:129,0.9673,0.0515,0.0702,0.971
15:38:07:132,0.9673,0.0461,0.0633,0.970
15:38:07:138,0.9778,0.0302,0.0565,0.980
15:38:07:142,0.9807,0.0283,0.0511,0.982
15:38:07:147,0.9812,0.0293,0.0475,0.983
15:38:07:152,0.9736,0.0442,0.0511,0.976
15:38:07:158,0.9680,0.0503,0.0492,0.971
15:38:07:163,0.9675,0.0515,0.0516,0.970
15:38:07:168,0.9663,0.0527,0.0516,0.969
15:38:07:172,0.9707,0.0488,0.0570,0.974
15:38:07:178,0.9751,0.0503,0.0548,0.978
15:38:07:183,0.9746,0.0610,0.0411,0.977
15:38:07:189,0.9778,0.0657,0.0223,0.980
15:38:07:193,0.9898,0.0596,0.0098,0.992
15:38:07:199,1.0056,0.0498,0.0088,1.007
15:38:07:202,1.0240,0.0398,0.0181,1.025
15:38:07:209,1.0396,0.0307,0.0345,1.041
15:38:07:216,1.0433,0.0239,0.0555,1.045
15:38:07:218,1.0369,0.0200,0.0726,1.040
15:38:07:225,1.0289,0.0178,0.0805,1.032
15:38:07:230,1.0196,0.0173,0.0812,1.023
15:38:07:233,1.0115,0.0188,0.0756,1.015
15:38:07:237,1.0032,0.0207,0.0665,1.006
15:38:07:243,0.9956,0.0190,0.0580,0.997
15:38:07:250,0.9858,0.0166,0.0531,0.987
15:38:07:252,0.9746,0.0161,0.0560,0.976
15:38:07:258,0.9695,0.0144,0.0609,0.971
15:38:07:263,0.9712,0.0109,0.0602,0.973
15:38:07:268,0.9748,0.0068,0.0528,0.976
15:38:07:272,0.9770,0.0038,0.0438,0.978
15:38:07:278,0.9736,0.0043,0.0448,0.975
15:38:07:282,0.9690,0.0060,0.0575,0.971
15:38:07:289,0.9670,0.0087,0.0739,0.970
15:38:07:293,0.9599,0.0197,0.0805,0.964
15:38:07:300,0.9624,0.0122,0.0753,0.965
15:38:07:302,0.9714,0.0009,0.0753,0.974
15:38:07:309,0.9717,0.0053,0.0663,0.974
15:38:07:317,0.9758,0.0100,0.0648,0.978
15:38:07:318,0.9692,0.0234,0.0668,0.972
15:38:07:323,0.9731,0.0254,0.0729,0.976
15:38:07:331,0.9717,0.0290,0.0748,0.975
15:38:07:333,0.9653,0.0322,0.0646,0.968
15:38:07:338,0.9656,0.0337,0.0545,0.968
15:38:07:343,0.9758,0.0298,0.0501,0.978
15:38:07:349,0.9871,0.0217,0.0538,0.989
15:38:07:353,0.9917,0.0173,0.0599,0.994
15:38:07:358,0.9937,0.0188,0.0631,0.996
15:38:07:363,1.0044,0.0232,0.0702,1.007
15:38:07:368,1.0152,0.0280,0.0814,1.019
15:38:07:373,1.0164,0.0366,0.0880,1.021
15:38:07:380,1.0162,0.0481,0.0856,1.021
15:38:07:383,1.0250,0.0515,0.0802,1.029
15:38:07:390,1.0347,0.0447,0.0914,1.040
15:38:07:394,1.0538,0.0300,0.1015,1.059
15:38:07:400,1.0540,0.0236,0.0932,1.058
15:38:07:405,1.0401,0.0302,0.0775,1.043
15:38:07:408,1.0247,0.0408,0.0665,1.028
15:38:07:416,1.0088,0.0496,0.0548,1.012
