time,gFx,gFy,gFz,TgF
17:41:26:003,1.4557,0.2784,-0.0493,1.483
17:41:26:012,1.5441,0.3043,0.0074,1.574
17:41:26:014,1.6216,0.3194,0.0668,1.654
17:41:26:018,1.6835,0.3140,0.0949,1.715
17:41:26:024,1.6832,0.2649,0.0739,1.706
17:41:26:028,1.6519,0.2018,0.0162,1.664
17:41:26:034,1.6964,0.1720,-0.0608,1.706
17:41:26:038,1.7854,0.1801,-0.1549,1.801
17:41:26:044,1.8624,0.2053,-0.2163,1.886
17:41:26:049,1.9247,0.2256,-0.2354,1.952
17:41:26:054,1.9748,0.2370,-0.2180,2.001
17:41:26:059,2.0139,0.2429,-0.1571,2.035
17:41:26:063,2.0350,0.2454,-0.0760,2.051
17:41:26:069,2.0399,0.2559,-0.0071,2.056
17:41:26:074,2.0352,0.2850,0.0399,2.055
17:41:26:078,2.0330,0.3182,0.0702,2.059
17:41:26:083,2.0015,0.3370,0.0778,2.031
17:41:26:095,1.9198,0.3324,0.0658,1.950
17:41:26:096,1.8076,0.3116,0.0382,1.835
17:41:26:101,1.6915,0.2813,-0.0039,1.715
17:41:26:103,1.6074,0.2483,-0.0660,1.628
17:41:26:110,1.5172,0.2202,-0.1449,1.540
17:41:26:114,1.4300,0.2016,-0.2146,1.460
17:41:26:118,1.3628,0.1857,-0.2508,1.398
17:41:26:124,1.2887,0.1632,-0.2627,1.325
17:41:26:132,1.2014,0.1390,-0.2535,1.236
17:41:26:135,1.1149,0.1153,-0.2139,1.141
17:41:26:140,1.0386,0.0938,-0.1542,1.054
17:41:26:144,0.9631,0.0747,-0.0880,0.970
17:41:26:149,0.8864,0.0559,-0.0239,0.888
17:41:26:154,0.8123,0.0359,0.0343,0.814
17:41:26:158,0.7463,0.0141,0.0892,0.752
17:41:26:164,0.6862,-0.0020,0.1313,0.699
17:41:26:168,0.6365,-0.0218,0.1572,0.656
17:41:26:175,0.5896,-0.0353,0.1550,0.611
17:41:26:179,0.5456,-0.0416,0.1452,0.566
17:41:26:184,0.5087,-0.0448,0.1222,0.525
17:41:26:189,0.4811,-0.0416,0.0814,0.490
17:41:26:196,0.4689,-0.0360,0.0531,0.473
17:41:26:200,0.4686,-0.0379,0.0294,0.471
17:41:26:204,0.4752,-0.0365,0.0147,0.477
17:41:26:209,0.4867,-0.0328,0.0181,0.488
17:41:26:215,0.5016,-0.0265,0.0259,0.503
17:41:26:219,0.5280,-0.0101,0.0362,0.529
17:41:26:225,0.5754,0.0124,0.0528,0.578
17:41:26:229,0.6390,0.0337,0.0704,0.644
17:41:26:235,0.6984,0.0505,0.0849,0.705
17:41:26:239,0.7399,0.0650,0.0985,0.749
17:41:26:244,0.7676,0.0742,0.1098,0.779
