time,gFx,gFy,gFz,TgF
17:16:37:818,0.8162,0.1974,0.3875,0.925
17:16:37:826,0.7891,0.2273,0.3149,0.879
17:16:37:832,0.7695,0.2634,0.2760,0.859
17:16:37:833,0.7876,0.2534,0.2863,0.875
17:16:37:842,0.8238,0.2295,0.3110,0.910
17:16:37:843,0.8345,0.2216,0.3171,0.920
17:16:37:848,0.8089,0.2375,0.3249,0.903
17:16:37:854,0.7954,0.2436,0.3454,0.901
17:16:37:858,0.7827,0.2388,0.3738,0.900
17:16:37:863,0.7571,0.2168,0.4029,0.885
17:16:37:868,0.7426,0.1918,0.4134,0.871
17:16:37:873,0.7563,0.1752,0.3955,0.871
17:16:37:879,0.7837,0.1708,0.3574,0.878
17:16:37:883,0.8135,0.1781,0.3303,0.896
17:16:37:889,0.8355,0.1823,0.3295,0.916
17:16:37:894,0.8553,0.1757,0.3440,0.938
17:16:37:898,0.8688,0.1652,0.3618,0.955
17:16:37:904,0.8768,0.1596,0.3706,0.965
17:16:37:908,0.8810,0.1569,0.3738,0.970
17:16:37:914,0.8920,0.1520,0.3801,0.981
17:16:37:919,0.9201,0.1473,0.3867,1.009
17:16:37:927,0.9550,0.1432,0.3950,1.043
17:16:37:932,0.9934,0.1329,0.4156,1.085
17:16:37:934,1.0284,0.1248,0.4361,1.124
17:16:37:943,1.0330,0.1251,0.4383,1.129
17:16:37:944,1.0330,0.1256,0.4354,1.128
17:16:37:949,1.0770,0.1173,0.4478,1.172
17:16:37:954,1.1552,0.1090,0.4752,1.254
17:16:37:958,1.2017,0.1158,0.5043,1.308
17:16:37:964,1.1765,0.1336,0.5050,1.287
17:16:37:969,1.1200,0.1417,0.4708,1.223
17:16:37:975,1.1034,0.1244,0.4334,1.192
17:16:37:979,1.1408,0.0901,0.4251,1.221
17:16:37:983,1.1838,0.0613,0.4280,1.260
17:16:37:989,1.2080,0.0469,0.4139,1.278
17:16:37:995,1.2405,0.0478,0.3831,1.299
17:16:37:999,1.2921,0.0466,0.3369,1.336
17:16:38:005,1.3383,0.0496,0.2975,1.372
17:16:38:011,1.3579,0.0500,0.2809,1.388
17:16:38:014,1.3483,0.0674,0.2973,1.382
17:16:38:019,1.3043,0.0911,0.3007,1.342
17:16:38:024,1.2518,0.1043,0.3004,1.292
17:16:38:029,1.2200,0.1143,0.2782,1.257
17:16:38:035,1.2058,0.1168,0.2608,1.239
17:16:38:045,1.1946,0.1285,0.2645,1.230
17:16:38:046,1.1836,0.1368,0.2564,1.219
17:16:38:049,1.1572,0.1706,0.2288,1.192
17:16:38:058,1.1481,0.2084,0.2156,1.187
17:16:38:059,1.1391,0.2326,0.1775,1.176
17:16:38:065,1.1371,0.2260,0.1731,1.172
17:16:38:070,1.1227,0.2348,0.1447,1.156
17:16:38:075,1.1103,0.2336,0.1306,1.142
17:16:38:079,1.0998,0.2375,0.0936,1.129
17:16:38:085,1.0897,0.2686,0.0482,1.123
17:16:38:089,1.1049,0.2586,0.0443,1.136
17:16:38:095,1.1247,0.2380,0.0489,1.151
17:16:38:100,1.1369,0.2216,0.0560,1.160
17:16:38:106,1.1411,0.2124,0.0423,1.161
17:16:38:110,1.0963,0.2067,0.0514,1.117
17:16:38:115,1.0401,0.2067,0.0301,1.061
17:16:38:119,1.1100,0.1701,0.0294,1.123
17:16:38:124,1.2273,0.1204,0.0044,1.233
17:16:38:130,1.1855,0.0970,0.0504,1.191
17:16:38:136,1.0291,0.0940,0.1543,1.045
17:16:38:143,1.0492,0.0430,0.1831,1.066
17:16:38:148,1.2503,-0.0783,0.0352,1.253
17:16:38:149,1.1301,-0.0736,-0.0442,1.133
17:16:38:158,1.0225,-0.0335,-0.0447,1.024
17:16:38:160,0.9636,-0.0504,-0.0911,0.969
17:16:38:164,0.8881,-0.0942,-0.1078,0.900
17:16:38:169,0.8604,-0.1140,-0.0704,0.871
17:16:38:175,0.8729,-0.1167,-0.0513,0.882
17:16:38:179,0.9064,-0.0942,-0.0665,0.914
17:16:38:184,0.9372,-0.0700,-0.0816,0.943
17:16:38:190,0.9656,-0.0453,-0.0943,0.971
17:16:38:196,0.9748,-0.0382,-0.1317,0.984
17:16:38:200,0.9900,-0.0404,-0.1452,1.001
17:16:38:204,0.9817,-0.0184,-0.1327,0.991
17:16:38:210,0.9404,0.0102,-0.1224,0.948
17:16:38:219,0.9208,0.0144,-0.1080,0.927
17:16:38:220,0.9140,0.0070,-0.0855,0.918
17:16:38:227,0.8930,0.0337,-0.0623,0.896
17:16:38:230,0.8956,0.0667,-0.0259,0.898
17:16:38:235,0.9313,0.0767,0.0257,0.935
17:16:38:242,0.9707,0.0694,0.0790,0.976
17:16:38:245,0.9988,0.0576,0.1161,1.007
17:16:38:249,1.0191,0.0503,0.1372,1.030
17:16:38:256,1.0247,0.0535,0.1499,1.037
17:16:38:260,1.0069,0.0635,0.1628,1.022
17:16:38:266,0.9717,0.0735,0.1611,0.988
