time,gFx,gFy,gFz,TgF
15:41:56:394,0.9590,0.0227,0.1826,0.976
15:41:56:399,0.9587,0.0268,0.1797,0.976
15:41:56:403,0.9612,0.0280,0.1721,0.977
15:41:56:405,0.9624,0.0280,0.1692,0.978
15:41:56:411,0.9643,0.0254,0.1728,0.980
15:41:56:415,0.9675,0.0207,0.1770,0.984
15:41:56:420,0.9695,0.0180,0.1772,0.986
15:41:56:425,0.9673,0.0178,0.1775,0.984
15:41:56:432,0.9629,0.0188,0.1768,0.979
15:41:56:435,0.9568,0.0210,0.1768,0.973
15:41:56:441,0.9499,0.0246,0.1802,0.967
15:41:56:446,0.9438,0.0293,0.1780,0.961
15:41:56:451,0.9460,0.0271,0.1775,0.963
15:41:56:455,0.9477,0.0254,0.1807,0.965
15:41:56:460,0.9389,0.0290,0.1775,0.956
15:41:56:465,0.9277,0.0351,0.1741,0.945
15:41:56:471,0.9093,0.0415,0.1706,0.926
15:41:56:475,0.8886,0.0510,0.1677,0.906
15:41:56:483,0.8749,0.0598,0.1640,0.892
15:41:56:486,0.8817,0.0547,0.1616,0.898
15:41:56:492,0.8932,0.0461,0.1584,0.908
15:41:56:496,0.9066,0.0417,0.1618,0.922
15:41:56:500,0.9096,0.0376,0.1714,0.926
15:41:56:505,0.9059,0.0349,0.1853,0.925
15:41:56:511,0.9091,0.0302,0.1953,0.930
15:41:56:516,0.9047,0.0356,0.1836,0.924
15:41:56:521,0.9015,0.0383,0.1401,0.913
15:41:56:526,0.8871,0.0444,0.0851,0.892
15:41:56:531,0.8866,0.0129,0.0330,0.887
15:41:56:535,0.8871,-0.0265,0.0088,0.888
15:41:56:541,0.8741,-0.0509,0.0338,0.876
15:41:56:546,0.8617,-0.0653,0.0978,0.870
15:41:56:551,0.8827,-0.0499,0.2249,0.912
15:41:56:556,0.9233,-0.0416,0.3239,0.979
15:41:56:561,0.9670,-0.0299,0.3828,1.040
15:41:56:566,1.0008,-0.0135,0.3919,1.075
15:41:56:571,1.0257,-0.0037,0.3459,1.082
15:41:56:575,1.0440,0.0034,0.2914,1.084
15:41:56:585,1.0509,0.0129,0.2469,1.080
15:41:56:586,1.0389,0.0136,0.2056,1.059
15:41:56:593,1.0230,0.0188,0.2176,1.046
15:41:56:598,1.0047,0.0210,0.2657,1.039
15:41:56:601,0.9758,0.0241,0.3073,1.023
15:41:56:606,0.9528,0.0381,0.3579,1.019
15:41:56:611,0.9355,0.0434,0.4029,1.019
15:41:56:616,0.9225,0.0366,0.4190,1.014
15:41:56:621,0.9211,0.0258,0.4178,1.012
15:41:56:626,0.9233,0.0136,0.4078,1.009
15:41:56:632,0.9194,0.0056,0.3985,1.002
15:41:56:636,0.9030,0.0053,0.3679,0.975
15:41:56:641,0.8930,0.0034,0.3518,0.960
15:41:56:646,0.8854,0.0012,0.3603,0.956
15:41:56:651,0.8798,-0.0003,0.3718,0.955
15:41:56:657,0.8832,0.0056,0.3943,0.967
15:41:56:662,0.9005,-0.0042,0.4290,0.998
15:41:56:666,0.9154,-0.0169,0.4542,1.022
15:41:56:672,0.9245,-0.0289,0.4471,1.027
15:41:56:676,0.9289,-0.0411,0.4232,1.022
15:41:56:685,0.9335,-0.0543,0.4114,1.022
15:41:56:686,0.9526,-0.0617,0.4192,1.043
15:41:56:692,0.9753,-0.0634,0.4295,1.068
15:41:56:699,0.9959,-0.0641,0.4320,1.087
15:41:56:701,1.0206,-0.0685,0.4234,1.107
15:41:56:706,1.0235,-0.0707,0.4153,1.107
15:41:56:712,1.0169,-0.0631,0.4197,1.102
15:41:56:716,1.0122,-0.0570,0.4283,1.101
15:41:56:721,0.9973,-0.0585,0.4478,1.095
15:41:56:726,0.9876,-0.0455,0.4696,1.094
15:41:56:732,0.9770,-0.0326,0.4813,1.090
15:41:56:736,0.9702,-0.0287,0.4840,1.085
15:41:56:742,0.9790,-0.0316,0.4825,1.092
15:41:56:746,0.9819,-0.0338,0.4649,1.087
15:41:56:752,0.9768,-0.0296,0.4378,1.071
15:41:56:758,0.9675,-0.0233,0.4063,1.050
15:41:56:763,0.9570,-0.0201,0.3848,1.032
15:41:56:767,0.9462,-0.0203,0.3723,1.017
15:41:56:778,0.9360,-0.0206,0.3664,1.005
15:41:56:778,0.9262,-0.0184,0.3642,0.995
15:41:56:782,0.9198,-0.0162,0.3633,0.989
15:41:56:787,0.9269,-0.0186,0.3620,0.995
15:41:56:793,0.9308,-0.0184,0.3640,1.000
15:41:56:801,0.9240,-0.0125,0.3645,0.993
15:41:56:802,0.9216,-0.0128,0.3606,0.990
15:41:56:809,0.9191,-0.0137,0.3652,0.989
15:41:56:815,0.9103,-0.0101,0.3804,0.987
15:41:56:817,0.9064,-0.0008,0.3994,0.991
15:41:56:822,0.9059,0.0073,0.4139,0.996
15:41:56:827,0.8993,0.0122,0.4200,0.993
15:41:56:832,0.8949,0.0151,0.4146,0.986
15:41:56:840,0.8898,0.0161,0.4004,0.976
15:41:56:842,0.8776,0.0146,0.3858,0.959
15:41:56:848,0.8690,0.0134,0.3787,0.948
15:41:56:852,0.8690,0.0170,0.3799,0.949
15:41:56:857,0.8673,0.0236,0.3782,0.946
15:41:56:862,0.8644,0.0288,0.3686,0.940
15:41:56:868,0.8631,0.0261,0.3625,0.937
15:41:56:872,0.8744,0.0175,0.3726,0.951
15:41:56:877,0.8837,0.0051,0.3911,0.966
15:41:56:882,0.8915,-0.0052,0.4070,0.980
15:41:56:887,0.8873,-0.0120,0.4227,0.983
15:41:56:893,0.8783,-0.0130,0.4400,0.982
15:41:56:899,0.8678,-0.0093,0.4522,0.979
15:41:56:902,0.8590,-0.0032,0.4513,0.970
15:41:56:907,0.8641,0.0031,0.4471,0.973
15:41:56:913,0.8754,0.0109,0.4495,0.984
15:41:56:917,0.8908,0.0144,0.4571,1.001
15:41:56:922,0.9032,0.0146,0.4642,1.016
15:41:56:927,0.9037,0.0212,0.4691,1.018
15:41:56:933,0.8930,0.0320,0.4481,1.000
15:41:56:937,0.8766,0.0422,0.3963,0.963
15:41:56:942,0.8898,0.0332,0.3479,0.956
15:41:56:948,0.9189,0.0065,0.3105,0.970
15:41:56:953,0.9443,-0.0221,0.2916,0.989
15:41:56:957,0.9656,-0.0465,0.2718,1.004
15:41:56:962,0.9702,-0.0582,0.2547,1.005
15:41:56:967,0.9550,-0.0568,0.2481,0.988
15:41:56:973,0.9406,-0.0555,0.2442,0.973
15:41:56:977,0.9374,-0.0602,0.2511,0.972
15:41:56:984,0.9181,-0.0614,0.2337,0.949
15:41:56:990,0.9020,-0.0441,0.2012,0.925
15:41:56:993,0.9098,-0.0443,0.2080,0.934
15:41:56:998,0.9086,-0.0541,0.2506,0.944
15:41:57:003,0.8895,-0.0646,0.3090,0.944
15:41:57:007,0.8526,-0.0734,0.3694,0.932
15:41:57:013,0.8211,-0.0727,0.4368,0.933
15:41:57:018,0.8081,-0.0504,0.5224,0.964
15:41:57:023,0.8064,-0.0282,0.5977,1.004
15:41:57:027,0.8355,-0.0177,0.6493,1.058
15:41:57:033,0.8680,-0.0113,0.7045,1.118
15:41:57:038,0.8900,-0.0010,0.7294,1.151
15:41:57:043,0.9140,0.0080,0.7211,1.164
15:41:57:048,0.9585,-0.0081,0.6764,1.173
15:41:57:054,0.9587,-0.0155,0.6339,1.149
15:41:57:059,0.9022,0.0175,0.6326,1.102
15:41:57:063,0.8389,0.0491,0.6747,1.078
15:41:57:068,0.6981,0.0662,0.6757,0.974
15:41:57:075,0.6248,0.0701,0.6468,0.902
15:41:57:078,0.7128,0.0740,0.6312,0.955
15:41:57:086,0.8436,0.0884,0.6483,1.068
15:41:57:089,0.9587,0.0901,0.7050,1.193
15:41:57:095,0.9951,0.0762,0.7145,1.227
15:41:57:099,0.9714,0.0510,0.6441,1.167
15:41:57:103,0.9433,0.0288,0.5515,1.093
15:41:57:108,0.8734,0.0161,0.4156,0.967
15:41:57:113,0.8196,-0.0027,0.3002,0.873
15:41:57:118,0.8147,-0.0482,0.2699,0.860
15:41:57:123,0.8067,-0.0707,0.2936,0.861
15:41:57:128,0.7954,-0.0524,0.3234,0.860
15:41:57:134,0.7786,-0.0445,0.3459,0.853
15:41:57:138,0.8125,-0.0216,0.3941,0.903
15:41:57:143,0.8868,-0.0145,0.4363,0.988
15:41:57:148,0.9103,-0.0267,0.4811,1.030
15:41:57:154,0.8815,-0.0282,0.5275,1.028
15:41:57:158,0.8443,-0.0208,0.5576,1.012
15:41:57:163,0.8966,-0.0216,0.5595,1.057
