time,gFx,gFy,gFz,TgF
17:22:02:842,0.6925,0.2473,0.2019,0.763
17:22:02:846,0.7248,0.2380,0.1746,0.783
17:22:02:852,0.7456,0.2397,0.1567,0.799
17:22:02:857,0.7558,0.2366,0.1545,0.807
17:22:02:862,0.7556,0.2334,0.1633,0.807
17:22:02:866,0.7412,0.2326,0.1699,0.795
17:22:02:871,0.7231,0.2314,0.1599,0.776
17:22:02:877,0.7155,0.2339,0.1389,0.765
17:22:02:882,0.7170,0.2358,0.1193,0.764
17:22:02:887,0.7192,0.2383,0.1100,0.766
17:22:02:891,0.7167,0.2383,0.1110,0.763
17:22:02:896,0.7109,0.2339,0.1222,0.758
17:22:02:902,0.7074,0.2253,0.1543,0.758
17:22:02:908,0.7087,0.2172,0.2012,0.768
17:22:02:913,0.7062,0.2124,0.2445,0.777
17:22:02:917,0.6928,0.2094,0.2711,0.773
17:22:02:922,0.6720,0.2075,0.2828,0.758
17:22:02:926,0.6471,0.2077,0.2946,0.741
17:22:02:936,0.6270,0.2092,0.3185,0.734
17:22:02:937,0.6180,0.2058,0.3496,0.739
17:22:02:942,0.6182,0.1987,0.3784,0.752
17:22:02:947,0.6229,0.1867,0.4021,0.765
17:22:02:952,0.6348,0.1698,0.4041,0.771
17:22:02:957,0.6588,0.1534,0.3760,0.774
17:22:02:962,0.6933,0.1454,0.3288,0.781
17:22:02:968,0.7363,0.1515,0.2833,0.803
17:22:02:972,0.7844,0.1622,0.2428,0.837
17:22:02:977,0.8265,0.1869,0.2166,0.875
17:22:02:983,0.8641,0.2094,0.2117,0.914
17:22:02:991,0.8952,0.2038,0.2217,0.944
17:22:02:992,0.9211,0.1813,0.2230,0.965
17:22:02:996,0.9428,0.1598,0.1963,0.976
17:22:03:003,0.9609,0.1446,0.1526,0.984
17:22:03:008,0.9753,0.1393,0.1088,0.991
17:22:03:013,0.9910,0.1373,0.0756,1.003
17:22:03:017,1.0171,0.1334,0.0477,1.027
17:22:03:023,1.0565,0.1253,0.0064,1.064
17:22:03:028,1.1012,0.1146,-0.0542,1.108
17:22:03:036,1.1518,0.0958,-0.1087,1.161
17:22:03:037,1.1917,0.0703,-0.1244,1.200
17:22:03:043,1.2371,0.0425,-0.0880,1.241
