time,gFx,gFy,gFz,TgF
17:32:30:299,0.8155,0.0901,-0.0090,0.820
17:32:30:302,0.8091,0.0975,0.0088,0.815
17:32:30:306,0.8091,0.1058,0.0269,0.816
17:32:30:315,0.8118,0.1141,0.0516,0.821
17:32:30:317,0.8018,0.1214,0.0712,0.814
17:32:30:323,0.7871,0.1275,0.0890,0.802
17:32:30:326,0.7766,0.1312,0.1042,0.794
17:32:30:332,0.7720,0.1288,0.1149,0.791
17:32:30:338,0.7727,0.1219,0.1213,0.792
17:32:30:342,0.7703,0.1175,0.1188,0.788
17:32:30:348,0.7693,0.1163,0.1098,0.786
17:32:30:352,0.7663,0.1168,0.1010,0.782
17:32:30:359,0.7678,0.1112,0.0971,0.782
17:32:30:362,0.7849,0.0953,0.0839,0.795
17:32:30:368,0.8015,0.0799,0.0677,0.808
17:32:30:373,0.8094,0.0701,0.0611,0.815
17:32:30:377,0.8108,0.0650,0.0616,0.816
17:32:30:385,0.8013,0.0645,0.0658,0.807
17:32:30:387,0.7893,0.0684,0.0748,0.796
17:32:30:391,0.7810,0.0733,0.0853,0.789
17:32:30:398,0.7771,0.0777,0.0910,0.786
17:32:30:402,0.7793,0.0791,0.0914,0.789
17:32:30:408,0.7820,0.0823,0.0875,0.791
17:32:30:411,0.7861,0.0848,0.0773,0.794
17:32:30:417,0.7903,0.0850,0.0604,0.797
17:32:30:423,0.7861,0.0904,0.0457,0.793
17:32:30:428,0.7825,0.0987,0.0492,0.790
17:32:30:433,0.7861,0.1050,0.0709,0.796
17:32:30:437,0.7971,0.1080,0.1064,0.811
17:32:30:442,0.8120,0.1072,0.1460,0.832
17:32:30:447,0.8287,0.1053,0.1868,0.856
17:32:30:452,0.8460,0.1014,0.2244,0.881
17:32:30:458,0.8648,0.0965,0.2550,0.907
17:32:30:463,0.8905,0.0904,0.2728,0.936
17:32:30:468,0.9294,0.0840,0.2692,0.971
17:32:30:472,0.9736,0.0779,0.2440,1.007
17:32:30:482,1.0081,0.0742,0.2056,1.032
17:32:30:484,1.0303,0.0718,0.1714,1.047
17:32:30:488,1.0445,0.0681,0.1570,1.058
17:32:30:493,1.0533,0.0659,0.1611,1.068
17:32:30:501,1.0506,0.0642,0.1863,1.069
17:32:30:502,1.0426,0.0603,0.2278,1.069
17:32:30:507,1.0369,0.0571,0.2709,1.073
17:32:30:514,1.0306,0.0557,0.3154,1.079
17:32:30:518,1.0276,0.0549,0.3523,1.088
17:32:30:522,1.0345,0.0508,0.3718,1.100
17:32:30:528,1.0506,0.0461,0.3513,1.109
17:32:30:533,1.0809,0.0410,0.3073,1.125
17:32:30:538,1.1105,0.0307,0.2447,1.138
17:32:30:543,1.1271,0.0188,0.1699,1.140
17:32:30:549,1.1308,0.0114,0.1049,1.136
17:32:30:554,1.1193,0.0068,0.0570,1.121
17:32:30:558,1.1042,0.0036,0.0521,1.105
17:32:30:566,1.0826,-0.0005,0.0924,1.087
17:32:30:572,1.0699,-0.0040,0.1670,1.083
17:32:30:573,1.1142,0.0056,0.2789,1.149
17:32:30:583,1.2002,0.0280,0.3872,1.261
17:32:30:584,1.2738,0.0452,0.4821,1.363
17:32:30:588,1.2975,0.0503,0.5395,1.406
17:32:30:593,1.2938,0.0532,0.5683,1.414
17:32:30:599,1.2718,0.0476,0.5808,1.399
17:32:30:602,1.2288,0.0398,0.5378,1.342
17:32:30:608,1.1826,0.0359,0.4823,1.278
17:32:30:614,1.1364,0.0229,0.4363,1.218
17:32:30:618,1.0888,-0.0064,0.4070,1.162
17:32:30:623,1.0555,-0.0343,0.3620,1.116
17:32:30:629,1.0753,-0.0382,0.3046,1.118
17:32:30:633,1.0924,-0.0399,0.2112,1.113
17:32:30:640,1.0682,-0.0431,0.0714,1.071
17:32:30:644,1.0435,-0.0441,-0.0427,1.045
17:32:30:649,0.9942,-0.0397,-0.1295,1.003
17:32:30:653,0.9340,-0.0035,-0.1955,0.954
17:32:30:660,0.9458,0.0745,-0.2212,0.974
17:32:30:667,1.0098,0.1520,-0.2080,1.042
17:32:30:668,1.0465,0.2055,-0.1657,1.079
17:32:30:675,1.0672,0.2529,-0.1046,1.102
17:32:30:681,1.0932,0.2925,-0.0567,1.133
17:32:30:683,1.1261,0.3158,-0.0371,1.170
17:32:30:688,1.1670,0.3304,-0.0359,1.213
17:32:30:694,1.2124,0.3417,-0.0530,1.261
17:32:30:700,1.2777,0.3387,-0.0821,1.324
17:32:30:703,1.3554,0.3241,-0.1024,1.397
17:32:30:709,1.4163,0.3079,-0.1151,1.454
17:32:30:714,1.4449,0.2884,-0.1219,1.478
17:32:30:719,1.4566,0.2698,-0.1435,1.488
17:32:30:723,1.4508,0.2490,-0.1889,1.484
17:32:30:729,1.4014,0.2326,-0.2459,1.442
17:32:30:734,1.3263,0.2180,-0.3026,1.378
17:32:30:739,1.2471,0.1933,-0.3483,1.309
17:32:30:744,1.1687,0.1488,-0.3813,1.238
17:32:30:749,1.0993,0.0896,-0.3869,1.169
17:32:30:753,1.0413,0.0351,-0.3656,1.104
17:32:30:760,0.9895,-0.0013,-0.3400,1.046
17:32:30:767,0.9392,-0.0199,-0.3243,0.994
17:32:30:769,0.9005,-0.0362,-0.3185,0.956
17:32:30:773,0.8739,-0.0467,-0.3182,0.931
17:32:30:787,0.8607,-0.0470,-0.3114,0.916
17:32:30:788,0.8558,-0.0389,-0.2935,0.906
17:32:30:789,0.8548,-0.0245,-0.2676,0.896
17:32:30:794,0.8680,-0.0089,-0.2451,0.902
17:32:30:800,0.9025,0.0014,-0.2295,0.931
17:32:30:803,0.9453,0.0078,-0.2202,0.971
17:32:30:811,0.9707,0.0175,-0.2126,0.994
17:32:30:814,0.9731,0.0393,-0.1987,0.994
17:32:30:825,0.9604,0.0676,-0.1642,0.977
17:32:30:826,0.9421,0.0894,-0.1065,0.952
17:32:30:830,0.9206,0.1080,-0.0254,0.927
17:32:30:834,0.8991,0.1219,0.0643,0.910
17:32:30:840,0.8785,0.1324,0.1484,0.901
17:32:30:844,0.8560,0.1442,0.2159,0.895
17:32:30:849,0.8245,0.1510,0.2586,0.877
17:32:30:854,0.7947,0.1434,0.2621,0.849
17:32:30:859,0.7703,0.1363,0.2327,0.816
17:32:30:864,0.7497,0.1368,0.1758,0.782
17:32:30:869,0.7331,0.1488,0.1100,0.756
17:32:30:874,0.7118,0.1564,0.0523,0.731
17:32:30:884,0.6720,0.1569,0.0145,0.690
17:32:30:885,0.6473,0.1613,-0.0117,0.667
17:32:30:889,0.6361,0.1666,-0.0288,0.658
17:32:30:894,0.6339,0.1608,-0.0317,0.655
17:32:30:900,0.6444,0.1446,-0.0161,0.661
17:32:30:904,0.6392,0.1324,0.0064,0.653
17:32:30:909,0.6221,0.1351,0.0213,0.637
17:32:30:914,0.6255,0.1336,0.0325,0.640
17:32:30:920,0.6412,0.1207,0.0435,0.654
17:32:30:924,0.6566,0.1060,0.0514,0.667
17:32:30:929,0.6764,0.0933,0.0580,0.685
17:32:30:934,0.6977,0.0833,0.0597,0.705
17:32:30:940,0.7194,0.0774,0.0592,0.726
17:32:30:944,0.7380,0.0725,0.0572,0.744
17:32:30:949,0.7463,0.0698,0.0550,0.752
17:32:30:954,0.7553,0.0654,0.0487,0.760
17:32:30:960,0.7659,0.0603,0.0433,0.769
17:32:30:966,0.7795,0.0503,0.0467,0.783
17:32:30:971,0.7927,0.0378,0.0585,0.796
17:32:30:974,0.8018,0.0273,0.0719,0.805
17:32:30:985,0.8091,0.0166,0.0839,0.814
17:32:30:986,0.8174,0.0012,0.0922,0.823
17:32:30:991,0.8255,-0.0181,0.0998,0.832
17:32:30:998,0.8367,-0.0370,0.1081,0.844
17:32:31:000,0.8541,-0.0592,0.1196,0.864
17:32:31:005,0.8778,-0.0810,0.1186,0.889
17:32:31:009,0.9008,-0.1008,0.1098,0.913
17:32:31:014,0.9213,-0.1203,0.0978,0.934
17:32:31:020,0.9343,-0.1352,0.0827,0.948
17:32:31:025,0.9480,-0.1482,0.0629,0.962
17:32:31:030,0.9619,-0.1543,0.0462,0.975
17:32:31:034,0.9744,-0.1457,0.0492,0.986
17:32:31:040,0.9800,-0.1242,0.0726,0.990
17:32:31:046,0.9778,-0.1052,0.1042,0.989
17:32:31:050,0.9778,-0.0939,0.1425,0.993
17:32:31:054,0.9839,-0.0837,0.1868,1.005
17:32:31:061,0.9927,-0.0656,0.2281,1.021
17:32:31:066,1.0008,-0.0448,0.2579,1.034
17:32:31:070,1.0120,-0.0299,0.2748,1.049
17:32:31:075,1.0269,-0.0159,0.2777,1.064
17:32:31:082,1.0421,0.0031,0.2758,1.078
17:32:31:085,1.0624,0.0212,0.2657,1.095
17:32:31:090,1.0890,0.0405,0.2745,1.124
17:32:31:098,1.1210,0.0579,0.2582,1.152
17:32:31:101,1.1499,0.0742,0.2396,1.177
17:32:31:105,1.1863,0.1006,0.2432,1.215
17:32:31:109,1.2058,0.1190,0.2547,1.238
17:32:31:115,1.2012,0.1158,0.2816,1.239
17:32:31:121,1.1919,0.1038,0.3171,1.238
17:32:31:124,1.1914,0.0948,0.3462,1.244
17:32:31:130,1.2009,0.0899,0.3625,1.258
17:32:31:134,1.2127,0.0811,0.3613,1.268
17:32:31:141,1.2220,0.0669,0.3374,1.269
17:32:31:146,1.2364,0.0466,0.3036,1.274
17:32:31:150,1.2621,0.0258,0.2665,1.290
17:32:31:155,1.2860,0.0117,0.2305,1.307
17:32:31:163,1.2973,0.0043,0.2029,1.313
17:32:31:166,1.2948,0.0019,0.1934,1.309
17:32:31:171,1.2902,-0.0001,0.2085,1.307
17:32:31:175,1.2858,-0.0003,0.2484,1.310
17:32:31:181,1.2882,0.0065,0.3024,1.323
17:32:31:185,1.2838,0.0224,0.3405,1.328
17:32:31:190,1.2540,0.0823,0.3635,1.308
17:32:31:197,1.2220,0.1608,0.3652,1.285
17:32:31:200,1.2408,0.1720,0.3227,1.294
17:32:31:205,1.2471,0.1752,0.2626,1.286
17:32:31:211,1.2105,0.1957,0.1846,1.240
17:32:31:215,1.1560,0.2018,0.0819,1.176
17:32:31:221,1.0861,0.2070,-0.0342,1.106
17:32:31:225,0.9971,0.2608,-0.1305,1.039
17:32:31:230,0.9260,0.3153,-0.1877,0.996
17:32:31:235,0.8868,0.3087,-0.2097,0.962
17:32:31:241,0.8974,0.2551,-0.2092,0.956
17:32:31:245,0.9330,0.1982,-0.1921,0.973
17:32:31:251,0.9502,0.1762,-0.1811,0.983
17:32:31:256,0.9629,0.1691,-0.1870,0.995
17:32:31:261,0.9832,0.1635,-0.1997,1.016
17:32:31:266,1.0100,0.1647,-0.2104,1.045
17:32:31:271,1.0423,0.1752,-0.2121,1.078
17:32:31:276,1.0795,0.1842,-0.2134,1.116
17:32:31:284,1.1276,0.1913,-0.2051,1.162
